ccgcode,indicator_group,Register_description,disease_register_size,ccg_listsize,prevalence
01D,LD,Learning  Disabilities,1007,223918,0.4497182004
01D,MH,Mental Health,2370,223918,1.0584231728
01D,OB,Obesity,22150,223918,9.8920140409
01D,OST,Osteoporosis,314,223918,0.1402299056
01D,PAD,Peripheral Atrial Disease,2104,223918,0.9396296859
01D,PC,Palliative Care,547,223918,0.2442858546
01D,RA,Rheumatoid Arthritis,1465,223918,0.6542573621
01D,SMOK,Smoking Indicators,55766,223918,24.904652596
01D,STIA,Stroke,4197,223918,1.8743468591
01D,THY,Thyroid,5995,223918,2.6773193758
01E,AF,Atrial Fibrillation,3072,207390,1.4812671778
01E,AST,Asthma,13042,207390,6.288634939
01E,CAN,Cancer,4074,207390,1.9644148705
01E,CHD,Coronary Heart Disease,7265,207390,3.5030618641
01E,CKD,Chronic Kidney Disease,7583,207390,3.6563961618
01E,COPD,Chronic Obstructive Pulmonary Disease,4161,207390,2.0063648199
01E,CVDPP,Cardiovascular Disease - Primary Prevention,5538,207390,2.6703312599
01E,DEM,Dementia,1247,207390,0.6012826076
01E,DEP,Depression,14217,207390,6.8552003472
01E,DM,Diabetes,10329,207390,4.9804715753
01E,EP,Epilepsy,1451,207390,0.6996480062
01E,HF,Heart Failure,1902,207390,0.9171126862
01E,HF,Heart Failure due to LVD,413,207390,0.1991417137
01E,HYP,Hypertension,27175,207390,13.103331887
01E,LD,Learning  Disabilities,682,207390,0.3288490284
01E,MH,Mental Health,1900,207390,0.9161483196
01E,OB,Obesity,15667,207390,7.55436617
01E,OST,Osteoporosis,213,207390,0.1027050485
01E,PAD,Peripheral Atrial Disease,1640,207390,0.7907806548
01E,PC,Palliative Care,297,207390,0.1432084479
01E,RA,Rheumatoid Arthritis,1250,207390,0.6027291576
01E,SMOK,Smoking Indicators,48671,207390,23.468344665
01E,STIA,Stroke,3786,207390,1.8255460726
01E,THY,Thyroid,6779,207390,3.2687207676
01F,AF,Atrial Fibrillation,2218,129007,1.7192865503
01F,AST,Asthma,8564,129007,6.6383994667
01F,CAN,Cancer,2697,129007,2.0905842319
01F,CHD,Coronary Heart Disease,5563,129007,4.3121691071
01F,CKD,Chronic Kidney Disease,4397,129007,3.408342183
01F,COPD,Chronic Obstructive Pulmonary Disease,3284,129007,2.5455983009
01F,CVDPP,Cardiovascular Disease - Primary Prevention,4257,129007,3.2998209399
01F,DEM,Dementia,761,129007,0.5898904711
01F,DEP,Depression,7342,129007,5.6911640454
01F,DM,Diabetes,7549,129007,5.8516204547
01F,EP,Epilepsy,946,129007,0.7332935422
01F,HF,Heart Failure,1106,129007,0.85731782
01F,HF,Heart Failure due to LVD,462,129007,0.358120102
01F,HYP,Hypertension,19332,129007,14.985233359
01F,LD,Learning  Disabilities,714,129007,0.5534583395
01F,MH,Mental Health,1030,129007,0.798406288
01F,OB,Obesity,12905,129007,10.003333152
01F,OST,Osteoporosis,142,129007,0.1100715465
01F,PAD,Peripheral Atrial Disease,1329,129007,1.0301766571
01F,PC,Palliative Care,364,129007,0.2821552319
01F,RA,Rheumatoid Arthritis,1001,129007,0.7759268877
01F,SMOK,Smoking Indicators,33060,129007,25.626516391
01F,STIA,Stroke,2390,129007,1.8526126489
01F,THY,Thyroid,3738,129007,2.897517189
01G,AF,Atrial Fibrillation,3926,253783,1.5469909332
01G,AST,Asthma,15374,253783,6.0579313823
01G,CAN,Cancer,4686,253783,1.8464593767
01G,CHD,Coronary Heart Disease,9314,253783,3.6700645827
01G,CKD,Chronic Kidney Disease,7283,253783,2.8697745712
01G,COPD,Chronic Obstructive Pulmonary Disease,7019,253783,2.7657486908
01G,CVDPP,Cardiovascular Disease - Primary Prevention,6126,253783,2.4138732697
01G,DEM,Dementia,1766,253783,0.6958700937
01G,DEP,Depression,14310,253783,5.6386755614
01G,DM,Diabetes,12033,253783,4.7414523431
01G,EP,Epilepsy,1903,253783,0.7498532211
01G,HF,Heart Failure,2402,253783,0.9464778965
01G,HF,Heart Failure due to LVD,956,253783,0.3766997789
01G,HYP,Hypertension,34228,253783,13.487113006
01G,LD,Learning  Disabilities,1023,253783,0.4031002865
01G,MH,Mental Health,2657,253783,1.04695744
01G,OB,Obesity,22550,253783,8.885543949
01G,OST,Osteoporosis,322,253783,0.1268800511
01G,PAD,Peripheral Atrial Disease,2118,253783,0.8345712676
01G,PC,Palliative Care,1095,253783,0.4314709811
01G,RA,Rheumatoid Arthritis,1303,253783,0.5134307657
01G,SMOK,Smoking Indicators,60772,253783,23.946442433
01G,STIA,Stroke,4483,253783,1.7664697793
01G,THY,Thyroid,8100,253783,3.191703148
01H,AF,Atrial Fibrillation,10379,520127,1.9954741823
01H,AST,Asthma,34775,520127,6.6858671055
01H,CAN,Cancer,13755,520127,2.6445464281
01H,CHD,Coronary Heart Disease,24716,520127,4.7519163589
01H,CKD,Chronic Kidney Disease,20747,520127,3.9888334964
01H,COPD,Chronic Obstructive Pulmonary Disease,11571,520127,2.22464898
01H,CVDPP,Cardiovascular Disease - Primary Prevention,16972,520127,3.2630492168
01H,DEM,Dementia,4602,520127,0.8847839085
01H,DEP,Depression,30338,520127,5.8328062185
01H,DM,Diabetes,28432,520127,5.4663572551
01H,EP,Epilepsy,3760,520127,0.7229003686
01H,HF,Heart Failure,5646,520127,1.0855041173
01H,HF,Heart Failure due to LVD,1814,520127,0.3487609757
01H,HYP,Hypertension,81497,520127,15.668673228
01H,LD,Learning  Disabilities,2109,520127,0.4054778929
01H,MH,Mental Health,4727,520127,0.9088165006
01H,OB,Obesity,44880,520127,8.628661846
01H,OST,Osteoporosis,946,520127,0.1818786566
01H,PAD,Peripheral Atrial Disease,5876,520127,1.1297240866
01H,PC,Palliative Care,2776,520127,0.533715804
01H,RA,Rheumatoid Arthritis,4025,520127,0.7738494637
01H,SMOK,Smoking Indicators,142173,520127,27.334285665
01H,STIA,Stroke,12247,520127,2.3546172377
01H,THY,Thyroid,21641,520127,4.1607145947
01J,AF,Atrial Fibrillation,2529,160753,1.5732210285
01J,AST,Asthma,8679,160753,5.3989661157
01J,CAN,Cancer,3732,160753,2.3215740919
01J,CHD,Coronary Heart Disease,7161,160753,4.4546602552
01J,CKD,Chronic Kidney Disease,5439,160753,3.3834516308
01J,COPD,Chronic Obstructive Pulmonary Disease,5558,160753,3.457478243
01J,CVDPP,Cardiovascular Disease - Primary Prevention,5037,160753,3.1333785373
01J,DEM,Dementia,1088,160753,0.6768147406
01J,DEP,Depression,11031,160753,6.8620803344
01J,DM,Diabetes,8950,160753,5.5675477285
01J,EP,Epilepsy,1338,160753,0.8323328336
01J,HF,Heart Failure,1422,160753,0.8845869128
01J,HF,Heart Failure due to LVD,291,160753,0.1810230602
01J,HYP,Hypertension,23619,160753,14.692727352
01J,LD,Learning  Disabilities,915,160753,0.5691962203
01J,MH,Mental Health,1455,160753,0.9051153011
01J,OB,Obesity,15817,160753,9.8393187063
01J,OST,Osteoporosis,177,160753,0.1101068098
01J,PAD,Peripheral Atrial Disease,1587,160753,0.9872288542
01J,PC,Palliative Care,531,160753,0.3303204295
01J,RA,Rheumatoid Arthritis,1142,160753,0.7104066487
01J,SMOK,Smoking Indicators,45195,160753,28.114560848
01J,STIA,Stroke,2829,160753,1.7598427401
01J,THY,Thyroid,5051,160753,3.1420875505
01K,AF,Atrial Fibrillation,2954,160751,1.8376246493
01K,AST,Asthma,10593,160751,6.5896946209
01K,CAN,Cancer,3669,160751,2.282411929
01K,CHD,Coronary Heart Disease,6426,160751,3.9974867963
01K,CKD,Chronic Kidney Disease,7766,160751,4.8310741457
01K,COPD,Chronic Obstructive Pulmonary Disease,3604,160751,2.2419767218
01K,CVDPP,Cardiovascular Disease - Primary Prevention,4593,160751,2.857213952
01K,DEM,Dementia,1300,160751,0.8087041449
01K,DEP,Depression,11083,160751,6.8945138755
01K,DM,Diabetes,8373,160751,5.2086767734
01K,EP,Epilepsy,1137,160751,0.7073050867
01K,HF,Heart Failure,1290,160751,0.8024833438
01K,HF,Heart Failure due to LVD,423,160751,0.2631398872
01K,HYP,Hypertension,21526,160751,13.39089648
01K,LD,Learning  Disabilities,721,160751,0.4485197604
01K,MH,Mental Health,1388,160751,0.8634471947
01K,OB,Obesity,11461,160751,7.1296601576
01K,OST,Osteoporosis,238,160751,0.1480550665
01K,PAD,Peripheral Atrial Disease,1652,160751,1.0276763442
01K,PC,Palliative Care,1190,160751,0.7402753327
01K,RA,Rheumatoid Arthritis,960,160751,0.597196907
01K,SMOK,Smoking Indicators,39389,160751,24.503113511
01K,STIA,Stroke,3019,160751,1.8780598565
01K,THY,Thyroid,5269,160751,3.2777401074
01M,AF,Atrial Fibrillation,1848,194250,0.9513513514
01M,AST,Asthma,10435,194250,5.3719433719
01M,CAN,Cancer,2668,194250,1.3734877735
01M,CHD,Coronary Heart Disease,5854,194250,3.0136422136
01M,CKD,Chronic Kidney Disease,5045,194250,2.5971685972
01M,COPD,Chronic Obstructive Pulmonary Disease,4496,194250,2.3145431145
01M,CVDPP,Cardiovascular Disease - Primary Prevention,5360,194250,2.7593307593
01M,DEM,Dementia,849,194250,0.4370656371
01M,DEP,Depression,11048,194250,5.6875160875
01M,DM,Diabetes,9586,194250,4.9348777349
01M,EP,Epilepsy,1345,194250,0.6924066924
01M,HF,Heart Failure,1233,194250,0.6347490347
01M,HF,Heart Failure due to LVD,330,194250,0.1698841699
01M,HYP,Hypertension,22437,194250,11.550579151
01M,LD,Learning  Disabilities,629,194250,0.3238095238
01M,MH,Mental Health,2259,194250,1.1629343629
01M,OB,Obesity,14621,194250,7.5268983269
01M,OST,Osteoporosis,161,194250,0.0828828829
01M,PAD,Peripheral Atrial Disease,1738,194250,0.8947232947
01M,PC,Palliative Care,328,194250,0.1688545689
01M,RA,Rheumatoid Arthritis,913,194250,0.47001287
01M,SMOK,Smoking Indicators,40652,194250,20.927670528
01M,STIA,Stroke,2977,194250,1.5325611326
01M,THY,Thyroid,3906,194250,2.0108108108
01N,AF,Atrial Fibrillation,2055,169196,1.2145677203
01N,AST,Asthma,10911,169196,6.4487340126
01N,CAN,Cancer,2748,169196,1.6241518712
01N,CHD,Coronary Heart Disease,5102,169196,3.0154377172
01N,CKD,Chronic Kidney Disease,3745,169196,2.2134093005
01N,COPD,Chronic Obstructive Pulmonary Disease,3553,169196,2.0999314405
01N,CVDPP,Cardiovascular Disease - Primary Prevention,4121,169196,2.4356367763
01N,DEM,Dementia,922,169196,0.5449301402
01N,DEP,Depression,10967,169196,6.4818317218
01N,DM,Diabetes,7828,169196,4.6265869169
01N,EP,Epilepsy,1092,169196,0.6454053287
01N,HF,Heart Failure,1082,169196,0.6394950235
01N,HF,Heart Failure due to LVD,302,169196,0.1784912173
01N,HYP,Hypertension,19215,169196,11.356651457
01N,LD,Learning  Disabilities,694,169196,0.4101751814
01N,MH,Mental Health,1963,169196,1.1601929124
01N,OB,Obesity,10380,169196,6.1348968061
01N,OST,Osteoporosis,169,169196,0.099884158
01N,PAD,Peripheral Atrial Disease,1540,169196,0.9101870021
01N,PC,Palliative Care,581,169196,0.3433887326
01N,RA,Rheumatoid Arthritis,729,169196,0.4308612497
01N,SMOK,Smoking Indicators,43892,169196,25.94151162
01N,STIA,Stroke,2546,169196,1.504763706
01N,THY,Thyroid,4100,169196,2.4232251353
01R,AF,Atrial Fibrillation,3583,176773,2.0268932473
01R,AST,Asthma,10654,176773,6.0269385031
01R,CAN,Cancer,4473,176773,2.5303637999
01R,CHD,Coronary Heart Disease,6631,176773,3.7511384657
01R,CKD,Chronic Kidney Disease,7014,176773,3.9678005125
01R,COPD,Chronic Obstructive Pulmonary Disease,3122,176773,1.766106815
01R,CVDPP,Cardiovascular Disease - Primary Prevention,5598,176773,3.1667732063
01R,DEM,Dementia,1155,176773,0.6533803239
01R,DEP,Depression,10565,176773,5.9765914478
01R,DM,Diabetes,8965,176773,5.0714758476
01R,EP,Epilepsy,1192,176773,0.6743111222
01R,HF,Heart Failure,1359,176773,0.7687825629
01R,HF,Heart Failure due to LVD,340,176773,0.192337065
01R,HYP,Hypertension,27628,176773,15.629083627
01R,LD,Learning  Disabilities,538,176773,0.3043451206
01R,MH,Mental Health,1448,176773,0.8191296182
01R,OB,Obesity,12439,176773,7.0367080946
01R,OST,Osteoporosis,232,176773,0.131241762
01R,PAD,Peripheral Atrial Disease,1381,176773,0.7812279025
01R,PC,Palliative Care,397,176773,0.2245818083
01R,RA,Rheumatoid Arthritis,1204,176773,0.6810994892
01R,SMOK,Smoking Indicators,45163,176773,25.548584908
01R,STIA,Stroke,3708,176773,2.0976054035
01R,THY,Thyroid,5565,176773,3.1481051971
01T,AF,Atrial Fibrillation,3019,154921,1.9487351618
01T,AST,Asthma,9780,154921,6.3128949594
01T,CAN,Cancer,3809,154921,2.4586724847
01T,CHD,Coronary Heart Disease,6665,154921,4.3021927305
01T,CKD,Chronic Kidney Disease,7080,154921,4.5700711976
01T,COPD,Chronic Obstructive Pulmonary Disease,4429,154921,2.8588764596
01T,CVDPP,Cardiovascular Disease - Primary Prevention,5283,154921,3.4101251606
01T,DEM,Dementia,1061,154921,0.6848651894
01T,DEP,Depression,9342,154921,6.0301702158
01T,DM,Diabetes,8033,154921,5.1852234365
01T,EP,Epilepsy,1299,154921,0.8384918765
01T,HF,Heart Failure,1865,154921,1.2038393762
01T,HF,Heart Failure due to LVD,637,154921,0.4111773097
01T,HYP,Hypertension,25200,154921,16.26635511
01T,LD,Learning  Disabilities,628,154921,0.4053678972
01T,MH,Mental Health,1820,154921,1.1747923135
01T,OB,Obesity,13707,154921,8.8477352973
01T,OST,Osteoporosis,179,154921,0.1155427605
01T,PAD,Peripheral Atrial Disease,1510,154921,0.974690326
01T,PC,Palliative Care,305,154921,0.1968745361
01T,RA,Rheumatoid Arthritis,1173,154921,0.757160101
01T,SMOK,Smoking Indicators,41868,154921,27.025387133
01T,STIA,Stroke,3016,154921,1.9467986909
01T,THY,Thyroid,6099,154921,3.9368452308
01V,AF,Atrial Fibrillation,2721,122391,2.2232026865
01V,AST,Asthma,7695,122391,6.287227002
01V,CAN,Cancer,3572,122391,2.9185152503
01V,CHD,Coronary Heart Disease,5241,122391,4.2821776111
01V,CKD,Chronic Kidney Disease,5255,122391,4.2936163607
01V,COPD,Chronic Obstructive Pulmonary Disease,2479,122391,2.0254757294
01V,CVDPP,Cardiovascular Disease - Primary Prevention,3958,122391,3.2338979173
01V,DEM,Dementia,1200,122391,0.9804642498
01V,DEP,Depression,5041,122391,4.1187669028
01V,DM,Diabetes,6509,122391,5.3182015017
01V,EP,Epilepsy,912,122391,0.7451528299
01V,HF,Heart Failure,1176,122391,0.9608549648
01V,HF,Heart Failure due to LVD,331,122391,0.2704447222
01V,HYP,Hypertension,20099,122391,16.421959131
01V,LD,Learning  Disabilities,732,122391,0.5980831924
01V,MH,Mental Health,1246,122391,1.0180487127
01V,OB,Obesity,9306,122391,7.6035002574
01V,OST,Osteoporosis,163,122391,0.1331797273
01V,PAD,Peripheral Atrial Disease,1007,122391,0.8227729163
01V,PC,Palliative Care,567,122391,0.463269358
01V,RA,Rheumatoid Arthritis,791,122391,0.6462893513
01V,SMOK,Smoking Indicators,33921,122391,27.715273182
01V,STIA,Stroke,2840,122391,2.3204320579
01V,THY,Thyroid,4412,122391,3.6048402252
01W,AF,Atrial Fibrillation,5474,301320,1.8166733041
01W,AST,Asthma,19556,301320,6.4901101819
01W,CAN,Cancer,6886,301320,2.2852781097
01W,CHD,Coronary Heart Disease,11846,301320,3.9313686446
01W,CKD,Chronic Kidney Disease,8027,301320,2.6639453073
01W,COPD,Chronic Obstructive Pulmonary Disease,6605,301320,2.1920217709
01W,CVDPP,Cardiovascular Disease - Primary Prevention,9044,301320,3.0014602416
01W,DEM,Dementia,2389,301320,0.7928448161
01W,DEP,Depression,16442,301320,5.4566573742
01W,DM,Diabetes,14222,301320,4.7198991106
01W,EP,Epilepsy,1976,301320,0.6557812293
01W,HF,Heart Failure,2672,301320,0.8867649011
01W,HF,Heart Failure due to LVD,1297,301320,0.4304394
01W,HYP,Hypertension,43081,301320,14.297424665
01W,LD,Learning  Disabilities,1256,301320,0.4168326032
01W,MH,Mental Health,2370,301320,0.7865392274
01W,OB,Obesity,21800,301320,7.2348333997
01W,OST,Osteoporosis,531,301320,0.1762246117
01W,PAD,Peripheral Atrial Disease,2215,301320,0.7350988982
01W,PC,Palliative Care,808,301320,0.2681534581
01W,RA,Rheumatoid Arthritis,1447,301320,0.4802203637
01W,SMOK,Smoking Indicators,78783,301320,26.145957786
01W,STIA,Stroke,6022,301320,1.9985397584
01W,THY,Thyroid,10055,301320,3.3369839373
01X,AF,Atrial Fibrillation,3565,194012,1.8375152052
01X,AST,Asthma,14368,194012,7.4057274808
01X,CAN,Cancer,4618,194012,2.3802651382
01X,CHD,Coronary Heart Disease,8952,194012,4.6141475785
01X,CKD,Chronic Kidney Disease,7098,194012,3.6585365854
01X,COPD,Chronic Obstructive Pulmonary Disease,5954,194012,3.0688823372
01X,CVDPP,Cardiovascular Disease - Primary Prevention,6477,194012,3.3384532915
01X,DEM,Dementia,1450,194012,0.7473764509
01X,DEP,Depression,12773,194012,6.5836133847
01X,DM,Diabetes,10967,194012,5.6527431293
01X,EP,Epilepsy,1484,194012,0.7649011401
01X,HF,Heart Failure,2178,194012,1.1226109725
01X,HF,Heart Failure due to LVD,424,194012,0.2185431829
01X,HYP,Hypertension,33178,194012,17.101004062
01X,LD,Learning  Disabilities,814,194012,0.4195616766
01X,MH,Mental Health,1927,194012,0.9932375317
01X,OB,Obesity,17733,194012,9.140156279
01X,OST,Osteoporosis,253,194012,0.1304043049
01X,PAD,Peripheral Atrial Disease,1681,194012,0.8664412511
01X,PC,Palliative Care,558,194012,0.2876110756
01X,RA,Rheumatoid Arthritis,1343,194012,0.6922252232
01X,SMOK,Smoking Indicators,55164,194012,28.433292786
01X,STIA,Stroke,3841,194012,1.9797744469
01X,THY,Thyroid,6951,194012,3.5827680762
01Y,AF,Atrial Fibrillation,3659,239708,1.5264405026
01Y,AST,Asthma,15882,239708,6.6255610993
01Y,CAN,Cancer,4852,239708,2.0241293574
01Y,CHD,Coronary Heart Disease,9942,239708,4.1475461812
01Y,CKD,Chronic Kidney Disease,5896,239708,2.4596592521
01Y,COPD,Chronic Obstructive Pulmonary Disease,6303,239708,2.6294491631
01Y,CVDPP,Cardiovascular Disease - Primary Prevention,7220,239708,3.0119979308
01Y,DEM,Dementia,1550,239708,0.6466200544
01Y,DEP,Depression,15794,239708,6.5888497672
01Y,DM,Diabetes,13560,239708,5.6568825404
01Y,EP,Epilepsy,1796,239708,0.7492449146
01Y,HF,Heart Failure,1840,239708,0.7676005807
01Y,HF,Heart Failure due to LVD,408,239708,0.1702070853
01Y,HYP,Hypertension,35756,239708,14.916481719
01Y,LD,Learning  Disabilities,882,239708,0.3679476697
01Y,MH,Mental Health,1852,239708,0.7726066715
01Y,OB,Obesity,20758,239708,8.6597026382
01Y,OST,Osteoporosis,383,239708,0.1597777296
01Y,PAD,Peripheral Atrial Disease,2281,239708,0.9515744155
01Y,PC,Palliative Care,679,239708,0.2832613012
01Y,RA,Rheumatoid Arthritis,1438,239708,0.5998965408
01Y,SMOK,Smoking Indicators,61544,239708,25.674570728
01Y,STIA,Stroke,4737,239708,1.9761543211
01Y,THY,Thyroid,9735,239708,4.0611911159
02A,AF,Atrial Fibrillation,3896,236910,1.6445063526
02A,AST,Asthma,15727,236910,6.6383858849
02A,CAN,Cancer,5066,236910,2.1383647799
02A,CHD,Coronary Heart Disease,8433,236910,3.5595795872
02A,CKD,Chronic Kidney Disease,7749,236910,3.2708623528
02A,COPD,Chronic Obstructive Pulmonary Disease,4317,236910,1.8222109662
02A,CVDPP,Cardiovascular Disease - Primary Prevention,6200,236910,2.6170275632
02A,DEM,Dementia,1496,236910,0.6314634249
02A,DEP,Depression,13864,236910,5.8520113123
02A,DM,Diabetes,11207,236910,4.7304883711
02A,EP,Epilepsy,1395,236910,0.5888312017
02A,HF,Heart Failure,1956,236910,0.8256299861
02A,HF,Heart Failure due to LVD,570,236910,0.2405976953
02A,HYP,Hypertension,31980,236910,13.498797012
02A,LD,Learning  Disabilities,704,236910,0.2971592588
02A,MH,Mental Health,1993,236910,0.8412477312
02A,OB,Obesity,15886,236910,6.7054999789
02A,OST,Osteoporosis,321,236910,0.1354944916
02A,PAD,Peripheral Atrial Disease,1873,236910,0.7905955848
02A,PC,Palliative Care,542,236910,0.2287788612
02A,RA,Rheumatoid Arthritis,1434,236910,0.6052931493
02A,SMOK,Smoking Indicators,55587,236910,23.463340509
02A,STIA,Stroke,4275,236910,1.804482715
02A,THY,Thyroid,8156,236910,3.4426575493
02D,AF,Atrial Fibrillation,1881,102462,1.8358025414
02D,AST,Asthma,6674,102462,6.513634323
02D,CAN,Cancer,2461,102462,2.4018660577
02D,CHD,Coronary Heart Disease,3755,102462,3.6647732818
02D,CKD,Chronic Kidney Disease,4128,102462,4.028810681
02D,COPD,Chronic Obstructive Pulmonary Disease,2279,102462,2.2242392302
02D,CVDPP,Cardiovascular Disease - Primary Prevention,3346,102462,3.2656009057
02D,DEM,Dementia,583,102462,0.568991431
02D,DEP,Depression,5754,102462,5.6157404696
02D,DM,Diabetes,5251,102462,5.124826765
02D,EP,Epilepsy,667,102462,0.6509730437
02D,HF,Heart Failure,805,102462,0.7856571217
02D,HF,Heart Failure due to LVD,127,102462,0.1239483906
02D,HYP,Hypertension,15767,102462,15.388143897
02D,LD,Learning  Disabilities,402,102462,0.392340575
02D,MH,Mental Health,763,102462,0.7446663153
02D,OB,Obesity,9008,102462,8.79155199
02D,OST,Osteoporosis,133,102462,0.1298042201
02D,PAD,Peripheral Atrial Disease,793,102462,0.7739454627
02D,PC,Palliative Care,383,102462,0.373797115
02D,RA,Rheumatoid Arthritis,743,102462,0.7251468837
02D,SMOK,Smoking Indicators,26353,102462,25.71977904
